,Mobile_name,Processor,Storage,Screen_Length,Camera,Battery,Warranty,Rating & Reviews, Discount
0,"APPLE iPhone 11 (Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.61,66,952 Ratings & 9,935 Reviews",6% off
1,"APPLE iPhone 11 (White, 64 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.61,66,952 Ratings & 9,935 Reviews",6% off
2,"APPLE iPhone 13 (Pink, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.71,58,288 Ratings & 8,584 Reviews",5% off
3,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,"4.397,135 Ratings & 9,439 Reviews",23% off
4,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.397,135 Ratings & 9,439 Reviews",23% off
5,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.361,613 Ratings & 5,745 Reviews",20% off
6,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.361,613 Ratings & 5,745 Reviews",20% off
7,"POCO C31 (Royal Blue, 64 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.31,60,351 Ratings & 10,133 Reviews",16% off
8,"OPPO K10 (Blue Flame, 128 GB)",A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,"4.476,622 Ratings & 5,620 Reviews",26% off
9,"OPPO K10 (Black Carbon, 128 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.476,622 Ratings & 5,620 Reviews",26% off
10,"APPLE iPhone 11 (White, 128 GB)",128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,"4.61,66,952 Ratings & 9,935 Reviews",5% off
11,"APPLE iPhone 11 (Black, 128 GB)",15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,"4.61,66,952 Ratings & 9,935 Reviews",5% off
12,"APPLE iPhone 13 (Midnight, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.71,58,288 Ratings & 8,584 Reviews",5% off
13,"APPLE iPhone 13 (Blue, 128 GB)",A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,"4.71,58,288 Ratings & 8,584 Reviews",5% off
14,"realme C30s (Stripe Blue, 32 GB)",Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,4.4787 Ratings & 32 Reviews,25% off
15,"vivo T1X (Space Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"4.554,071 Ratings & 2,896 Reviews",29% off
16,"vivo T1X (Gravity Black, 64 GB)",16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,"4.554,071 Ratings & 2,896 Reviews",29% off
17,"APPLE iPhone 13 (Green, 128 GB)",48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"4.71,58,288 Ratings & 8,584 Reviews",5% off
18,"vivo T1 5G (Starlight Black, 128 GB)",6000 mAh Lithium-ion Battery,6000 mAh Lithium-ion Battery,6000 mAh Lithium-ion Battery,6000 mAh Lithium-ion Battery,6000 mAh Lithium-ion Battery,6000 mAh Lithium-ion Battery,"4.41,41,645 Ratings & 11,844 Reviews",19% off
19,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",MediaTek Helio G80 Processor,MediaTek Helio G80 Processor,MediaTek Helio G80 Processor,MediaTek Helio G80 Processor,MediaTek Helio G80 Processor,MediaTek Helio G80 Processor,"4.31,18,991 Ratings & 9,886 Reviews",29% off
20,"vivo T1X (Gravity Black, 128 GB)",1 Year Warranty Provided by the Manufacturer from Date of Purchase,1 Year Warranty Provided by the Manufacturer from Date of Purchase,1 Year Warranty Provided by the Manufacturer from Date of Purchase,1 Year Warranty Provided by the Manufacturer from Date of Purchase,1 Year Warranty Provided by the Manufacturer from Date of Purchase,1 Year Warranty Provided by the Manufacturer from Date of Purchase,"4.554,071 Ratings & 2,896 Reviews",27% off
21,"vivo T1X (Space Blue, 128 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"4.554,071 Ratings & 2,896 Reviews",27% off
22,"MOTOROLA e40 (Carbon Gray, 64 GB)",16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,"4.143,508 Ratings & 4,445 Reviews",21% off
23,"vivo T1 5G (Rainbow Fantasy, 128 GB)",48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"4.41,41,645 Ratings & 11,844 Reviews",19% off
24,"APPLE iPhone 11 (Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.61,66,952 Ratings & 9,935 Reviews",6% off
25,"APPLE iPhone 11 (White, 64 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.61,66,952 Ratings & 9,935 Reviews",6% off
26,"APPLE iPhone 13 (Pink, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.71,58,288 Ratings & 8,584 Reviews",5% off
27,Itel MagicX,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,419 Ratings & 1 Reviews,23% off
28,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.397,135 Ratings & 9,439 Reviews",23% off
29,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.397,135 Ratings & 9,439 Reviews",20% off
30,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.361,613 Ratings & 5,745 Reviews",20% off
31,Itel Magic X,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,3.639 Ratings & 2 Reviews,16% off
32,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,"4.361,613 Ratings & 5,745 Reviews",3% off
33,"POCO C31 (Royal Blue, 64 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.31,60,351 Ratings & 10,133 Reviews",26% off
34,Itel Ace 2N,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,4.1217 Ratings & 12 Reviews,26% off
35,Itel Power 410,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,"4.11,534 Ratings & 149 Reviews",5% off
36,"OPPO K10 (Blue Flame, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.476,622 Ratings & 5,620 Reviews",5% off
37,"OPPO K10 (Black Carbon, 128 GB)",A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,"4.476,622 Ratings & 5,620 Reviews",4% off
38,"APPLE iPhone 11 (White, 128 GB)",Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,"4.61,66,952 Ratings & 9,935 Reviews",5% off
39,"APPLE iPhone 11 (Black, 128 GB)",48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,"4.61,66,952 Ratings & 9,935 Reviews",5% off
40,Itel Ace 2,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,4565 Ratings & 56 Reviews,25% off
41,Itel IT5026,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,4970 Ratings & 93 Reviews,29% off
42,"APPLE iPhone 13 (Midnight, 128 GB)",1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,"4.71,58,288 Ratings & 8,584 Reviews",4% off
43,"APPLE iPhone 13 (Blue, 128 GB)",12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),"4.71,58,288 Ratings & 8,584 Reviews",25% off
44,Itel ACE 2N,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4.1217 Ratings & 12 Reviews,3% off
45,Itel power 100,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,16.26 cm (6.4 inch) HD+ Display,4.1478 Ratings & 34 Reviews,16% off
46,"APPLE iPhone 11 (Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.61,66,952 Ratings & 9,935 Reviews",6% off
47,"APPLE iPhone 11 (White, 64 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.61,66,952 Ratings & 9,935 Reviews",6% off
48,"APPLE iPhone 13 (Pink, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.71,58,288 Ratings & 8,584 Reviews",5% off
49,Itel Magic X,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,3.639 Ratings & 2 Reviews,23% off
50,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.397,135 Ratings & 9,439 Reviews",23% off
51,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.397,135 Ratings & 9,439 Reviews",20% off
52,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.361,613 Ratings & 5,745 Reviews",20% off
53,Itel Ace 2N,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,4.1217 Ratings & 12 Reviews,16% off
54,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,"4.361,613 Ratings & 5,745 Reviews",3% off
55,"POCO C31 (Royal Blue, 64 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.31,60,351 Ratings & 10,133 Reviews",26% off
56,Itel MagicX,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,419 Ratings & 1 Reviews,26% off
57,Itel Power 410,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,"4.11,534 Ratings & 149 Reviews",5% off
58,"OPPO K10 (Black Carbon, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.476,622 Ratings & 5,620 Reviews",5% off
59,"OPPO K10 (Blue Flame, 128 GB)",A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,"4.476,622 Ratings & 5,620 Reviews",5% off
60,"APPLE iPhone 11 (White, 128 GB)",Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,"4.61,66,952 Ratings & 9,935 Reviews",5% off
61,"APPLE iPhone 13 (Midnight, 128 GB)",48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,"4.71,58,288 Ratings & 8,584 Reviews",4% off
62,Itel Ace 2,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,4565 Ratings & 56 Reviews,25% off
63,Itel ACE 2N,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,4.1217 Ratings & 12 Reviews,5% off
64,"APPLE iPhone 11 (Black, 128 GB)",1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,"4.61,66,952 Ratings & 9,935 Reviews",4% off
65,"APPLE iPhone 13 (Blue, 128 GB)",12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),"4.71,58,288 Ratings & 8,584 Reviews",25% off
66,"Tecno Pova 3 (Tech Silver, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4.3116 Ratings & 9 Reviews,16% off
67,"APPLE iPhone 11 (Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.61,66,952 Ratings & 9,935 Reviews",6% off
68,"APPLE iPhone 11 (White, 64 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.61,66,952 Ratings & 9,935 Reviews",6% off
69,"APPLE iPhone 13 (Pink, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.71,58,288 Ratings & 8,584 Reviews",5% off
70,Itel Magic X,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,3.639 Ratings & 2 Reviews,23% off
71,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.397,135 Ratings & 9,439 Reviews",23% off
72,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.397,135 Ratings & 9,439 Reviews",20% off
73,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.361,613 Ratings & 5,745 Reviews",20% off
74,Itel Ace 2N,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,4.1217 Ratings & 12 Reviews,16% off
75,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,"4.361,613 Ratings & 5,745 Reviews",3% off
76,"POCO C31 (Royal Blue, 64 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.31,60,351 Ratings & 10,133 Reviews",26% off
77,Itel Power 410,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,"4.11,534 Ratings & 149 Reviews",26% off
78,Itel MagicX,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,419 Ratings & 1 Reviews,5% off
79,"OPPO K10 (Black Carbon, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.476,622 Ratings & 5,620 Reviews",5% off
80,"OPPO K10 (Blue Flame, 128 GB)",A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,"4.476,622 Ratings & 5,620 Reviews",5% off
81,"APPLE iPhone 11 (White, 128 GB)",Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,"4.61,66,952 Ratings & 9,935 Reviews",5% off
82,"APPLE iPhone 13 (Midnight, 128 GB)",48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,48 MB RAM | 128 MB ROM,"4.71,58,288 Ratings & 8,584 Reviews",4% off
83,Itel Ace 2,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,6.1 cm (2.4 inch) Display,4565 Ratings & 56 Reviews,25% off
84,Itel ACE 2N,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,0.3MP Rear Camera,4.1217 Ratings & 12 Reviews,5% off
85,"APPLE iPhone 11 (Black, 128 GB)",1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,1200 mAh Battery,"4.61,66,952 Ratings & 9,935 Reviews",4% off
86,"APPLE iPhone 13 (Blue, 128 GB)",12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),"4.71,58,288 Ratings & 8,584 Reviews",25% off
87,Itel IT5026,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4970 Ratings & 93 Reviews,16% off
88,"APPLE iPhone 11 (Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.61,66,952 Ratings & 9,935 Reviews",6% off
89,"APPLE iPhone 11 (White, 64 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.61,66,952 Ratings & 9,935 Reviews",6% off
