,Mobile_name,Processor,Storage,Screen_Length,Camera,Battery,Warranty,Rating & Reviews, Discount
725,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.397,135 Ratings & 9,439 Reviews",20% off
726,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,15.49 cm (6.1 inch) Liquid Retina HD Display,"4.361,613 Ratings & 5,745 Reviews",20% off
727,Itel Magic X,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,3.639 Ratings & 2 Reviews,16% off
728,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)",A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,A13 Bionic Chip Processor,"4.361,613 Ratings & 5,745 Reviews",3% off
729,"POCO C31 (Royal Blue, 64 GB)",Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,Brand Warranty of 1 Year,"4.31,60,351 Ratings & 10,133 Reviews",26% off
730,Itel Power 410,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,128 GB ROM,"4.11,534 Ratings & 149 Reviews",26% off
731,Itel MagicX,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,15.49 cm (6.1 inch) Super Retina XDR Display,419 Ratings & 1 Reviews,5% off
732,"OPPO K10 (Black Carbon, 128 GB)",12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,12MP + 12MP | 12MP Front Camera,"4.476,622 Ratings & 5,620 Reviews",5% off
733,"OPPO K10 (Blue Flame, 128 GB)",A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,A15 Bionic Chip Processor,"4.476,622 Ratings & 5,620 Reviews",4% off
734,"APPLE iPhone 11 (White, 128 GB)",Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,Brand Warranty for 1 Year,"4.61,66,952 Ratings & 9,935 Reviews",5% off
735,"APPLE iPhone 13 (Midnight, 128 GB)",4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,"4.71,58,288 Ratings & 8,584 Reviews",5% off
736,Itel IT5026,4.57 cm (1.8 inch) Quarter QVGA Display,4.57 cm (1.8 inch) Quarter QVGA Display,4.57 cm (1.8 inch) Quarter QVGA Display,4.57 cm (1.8 inch) Quarter QVGA Display,4.57 cm (1.8 inch) Quarter QVGA Display,4.57 cm (1.8 inch) Quarter QVGA Display,4970 Ratings & 93 Reviews,25% off
737,Itel Ace 2,0MP Front Camera,0MP Front Camera,0MP Front Camera,0MP Front Camera,0MP Front Camera,0MP Front Camera,4565 Ratings & 56 Reviews,5% off
738,"APPLE iPhone 11 (Black, 128 GB)",1000 mAh Lithium Ion Battery,1000 mAh Lithium Ion Battery,1000 mAh Lithium Ion Battery,1000 mAh Lithium Ion Battery,1000 mAh Lithium Ion Battery,1000 mAh Lithium Ion Battery,"4.61,66,952 Ratings & 9,935 Reviews",4% off
739,"APPLE iPhone 13 (Blue, 128 GB)",Mediatek MT6261D Processor,Mediatek MT6261D Processor,Mediatek MT6261D Processor,Mediatek MT6261D Processor,Mediatek MT6261D Processor,Mediatek MT6261D Processor,"4.71,58,288 Ratings & 8,584 Reviews",25% off
740,Itel ACE 2N,12+1 Month Warranty on Device and 6 Months on Accessories,12+1 Month Warranty on Device and 6 Months on Accessories,12+1 Month Warranty on Device and 6 Months on Accessories,12+1 Month Warranty on Device and 6 Months on Accessories,12+1 Month Warranty on Device and 6 Months on Accessories,12+1 Month Warranty on Device and 6 Months on Accessories,4.1217 Ratings & 12 Reviews,16% off
741,"APPLE iPhone 11 (Black, 64 GB)",64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,64 GB ROM,"4.61,66,952 Ratings & 9,935 Reviews",6% off
